Date,Close
5/13/2015,102.24
5/14/2015,103.82
5/15/2015,102.33
5/18/2015,102.34
5/19/2015,103.27
5/20/2015,103.38
5/21/2015,104.16
5/22/2015,106.76
5/26/2015,104.67
5/27/2015,105.19
5/28/2015,105.09
5/29/2015,104.15
6/1/2015,106.42
6/2/2015,106.22
6/3/2015,106.84
6/4/2015,105.46
6/5/2015,105.6
6/8/2015,104.5
6/9/2015,104.64
6/10/2015,107.48
6/11/2015,105.83
6/12/2015,104.73
6/15/2015,103.05
6/16/2015,103.73
6/17/2015,103.84
6/18/2015,104.39
6/19/2015,104.32
6/22/2015,105.5
6/23/2015,104.76
6/24/2015,103.05
6/25/2015,103.6
6/26/2015,103.24
6/29/2015,101.02
6/30/2015,100.77
7/1/2015,101.62
7/2/2015,101.41
7/6/2015,101.92
7/7/2015,103.58
7/8/2015,103.43
7/9/2015,103.58
7/10/2015,104.36
7/13/2015,105.43
7/14/2015,105.83
7/15/2015,106.33
7/16/2015,108.1
7/17/2015,106.77
7/20/2015,106.63
7/21/2015,106.15
7/22/2015,106.72
7/23/2015,107.25
7/24/2015,106.69
7/27/2015,105
7/28/2015,105.64
7/29/2015,105.52
7/30/2015,105.74
7/31/2015,105.77
8/3/2015,105.05
8/4/2015,105.59
8/5/2015,106.78
8/6/2015,104.17
8/7/2015,105.44
8/10/2015,104.99
8/11/2015,104.62
8/12/2015,104.72
8/13/2015,104.9
8/14/2015,105.62
8/17/2015,105.56
8/18/2015,105.72
8/19/2015,106.27
8/20/2015,102.93
8/21/2015,89.28
8/24/2015,84.25
8/25/2015,79.87
8/26/2015,83.29
8/27/2015,86.6
8/28/2015,86.21
8/31/2015,85.75
9/1/2015,84.1
9/2/2015,85.83
9/3/2015,86.04
9/4/2015,85.13
9/8/2015,87.74
9/9/2015,86.64
9/10/2015,88.3
9/11/2015,89.31
9/14/2015,88.82
9/15/2015,88.99
9/16/2015,89.47
9/17/2015,85.77
9/18/2015,85.49
9/21/2015,86.81
9/22/2015,86.85
9/23/2015,87.59
9/24/2015,87.86
9/25/2015,87.88
9/28/2015,86.22
9/29/2015,86.83
